"","subject","trial","offer1","offer2","ev1","ev2","ev3","ev4","teacher.ch","teacher.reveal","student.ch","student.follow","reward","PEcard","PEteacher","Qcard1","Qcard2","Qcard3","Qcard4","Qteacher.opp","Qteacher.follow","Rcard","Rteacher"
"V1",1,1,2,3,0.59,0.73,0.63,0.64,2,0,2,1,1,1,1,0,0,0,0,0,0,0,1
"V2",1,2,1,4,0.60855,0.69477,0.65914,0.57178,1,1,1,1,1,1,1,0,0.389044060137602,0,0,0,0,0,1
"V3",1,3,1,3,0.59986,0.70981,0.66394,0.58403,3,0,3,1,1,1,0.513147869561393,0.202998019383284,0.389044060137602,0,0,0,0.486852130438607,0,0.497686685670585
"V4",1,4,1,3,0.57414,0.68167,0.66388,0.57426,3,0,3,1,1,0.610955939862398,0.513147869561393,0.202998019383284,0.389044060137602,0.389044060137602,0,0,0.486852130438607,0,0.497686685670585
"V5",1,5,3,2,0.54503,0.66103,0.66765,0.52334,3,1,3,1,1,0.373267160453146,0.513147869561393,0.202998019383284,0.389044060137602,0.626732839546854,0,0,0.486852130438607,0.195422011267891,0.497686685670585
"V6",1,6,1,3,0.50689,0.68721,0.66839,0.58495,3,1,3,1,1,0.297494666180335,0.263320736035396,0.202998019383284,0.389044060137602,0.702505333819665,0,0,0.736679263964604,0.412075182926862,0.492244344322725
"V7",1,7,2,3,0.51806,0.70422,0.64912,0.62316,2,0,3,0,1,0.237103838168636,1,0.202998019383284,0.389044060137602,0.762896161831364,0,0,0.864877525292098,0.557962114603018,0.615027258945881
"V8",1,8,1,2,0.51453,0.66169,0.6088,0.60968,2,1,2,1,0,-0.389044060137602,-0.864877525292098,0.202998019383284,0.389044060137602,0.855140001706699,0,0,0.864877525292098,0.66090321508523,0.615027258945881
"V9",1,9,4,1,0.52168,0.60452,0.58948,0.5992,4,1,4,1,0,0,-0.44381005953517,0.202998019383284,0.310068886476838,0.855140001706699,0,0,0.44381005953517,0.635814033726326,0.373964696212759
"V10",1,10,4,1,0.5375,0.5986,0.55133,0.60165,4,1,1,0,1,0.797001980616716,1,0.202998019383284,0.310068886476838,0.855140001706699,0,0,0.227740186540388,0.818749493477516,0.465498862607504
"V11",1,11,2,3,0.59168,0.59034,0.55323,0.62418,2,0,3,0,0,-0.855140001706699,-0.486852130438607,0.435549838744892,0.310068886476838,0.855140001706699,0,0.486852130438607,0.227740186540388,0.509449329722019,0.231672586114555
"V12",1,12,2,3,0.5644,0.52893,0.5739,0.61034,3,1,2,0,1,0.689931113523162,0.513147869561393,0.435549838744892,0.310068886476838,0.522452863456649,0,0.486852130438607,0.227740186540388,0.326311254282914,0.231672586114555
"V13",1,13,1,4,0.61124,0.50395,0.57059,0.57205,1,0,4,0,1,1,0.263320736035396,0.435549838744892,0.511379221439669,0.522452863456649,0,0.736679263964604,0.227740186540388,0.318152496677686,0.35985266877304
"V14",1,14,3,1,0.59515,0.50663,0.55866,0.60242,1,1,3,0,1,0.477547136543351,0.263320736035396,0.435549838744892,0.511379221439669,0.522452863456649,0.389044060137602,0.736679263964604,0.227740186540388,0.158340261609339,0.35985266877304
