"","prolific_id","Session","bonus"
"1","594fc4afd3a26200014dce0e",1,"0.75"
"2","594fc4afd3a26200014dce0e",2,"0.75"
"3","59d3ef2c078dbe000195117f",1,"0.75"
"4","59d3ef2c078dbe000195117f",2,"0.75"
"5","5a8b49d917ef35000170b814",1,"0.75"
"6","5a8b49d917ef35000170b814",2,"0.75"
"7","5ae5db897edeb000014a85ee",1,"0.75"
"8","5ae5db897edeb000014a85ee",2,"0.75"
"9","5aeac20931a2fb00013cd72e",1,"0.75"
"10","5aeac20931a2fb00013cd72e",2,"0.75"
"11","5b62f401c7e8a900018d7e99",1,"0.75"
"12","5b62f401c7e8a900018d7e99",2,"0.75"
"13","5b930339301eda0001ba2446",1,"0.75"
"14","5b930339301eda0001ba2446",2,"0.75"
"15","5be3252a2dedc30001869bf8",1,"0.75"
"16","5be3252a2dedc30001869bf8",2,"0.50"
"17","5bf05acc635b780001c8d070",1,"0.75"
"18","5bf05acc635b780001c8d070",2,"0.75"
"19","5bf146203941490001fd45d1",1,"0.75"
"20","5bf146203941490001fd45d1",2,"0.75"
"21","5bf5ba787ac3710001c47193",1,"0.75"
"22","5bf5ba787ac3710001c47193",2,"0.75"
"23","5c1f694cce8ff10001aa3e0b",1,"0.75"
"24","5c1f694cce8ff10001aa3e0b",2,"0.75"
"25","5c38d25078687a0001db8633",1,"0.75"
"26","5c38d25078687a0001db8633",2,"0.75"
"27","5c5b333a2b7de10001b78759",1,"0.75"
"28","5c5b333a2b7de10001b78759",2,"0.75"
"29","5c61bfabd1c24d0001638dbb",1,"0.75"
"30","5c61bfabd1c24d0001638dbb",2,"0.75"
"31","5c66cc2942faef00012849c7",1,"0.75"
"32","5c7d8138896a0b00011c2f5d",1,"0.75"
"33","5c7d8138896a0b00011c2f5d",2,"0.50"
"34","5ca362775120ef0015c18c2b",1,"0.75"
"35","5cb72e7625f45e0017c31287",1,"0.75"
"36","5cb72e7625f45e0017c31287",2,"0.75"
"37","5ce71321a6f1d5001a4b6ec3",1,"0.75"
"38","5ce71321a6f1d5001a4b6ec3",2,"0.75"
"39","5cf9179b8c98dc0001d5a431",1,"0.75"
"40","5cf9179b8c98dc0001d5a431",2,"0.75"
"41","5d0be24e352d630017a643be",1,"0.75"
"42","5d0be24e352d630017a643be",2,"0.75"
"43","5d1b4223bafe26001ec6ae62",1,"0.75"
"44","5d1b4223bafe26001ec6ae62",2,"0.75"
"45","5d38458be8f012001584ff5d",1,"0.75"
"46","5d38458be8f012001584ff5d",2,"0.75"
"47","5d5945a140d6260001b28a12",1,"0.75"
"48","5d5945a140d6260001b28a12",2,"0.50"
"49","5d7374ab99bf5b0018864719",1,"0.75"
"50","5d7374ab99bf5b0018864719",2,"0.75"
"51","5d7df958cb6cf00001399929",1,"0.75"
"52","5d7df958cb6cf00001399929",2,"0.75"
"53","5d80f06ec7470f0001e8464c",1,"0.75"
"54","5d80f06ec7470f0001e8464c",2,"0.75"
"55","5d97bf1cfaa2860015b165a6",1,"0.75"
"56","5d97bf1cfaa2860015b165a6",2,"0.75"
"57","5da2190cd214ae001611703d",1,"0.75"
"58","5da2190cd214ae001611703d",2,"0.75"
"59","5da867d0b56fb70012271761",1,"0.75"
"60","5da867d0b56fb70012271761",2,"0.75"
"61","5daae19f8a06b60016d1bc32",1,"0.75"
"62","5daae19f8a06b60016d1bc32",2,"0.75"
"63","5ddd31af535a71c88666e7e2",1,"0.75"
"64","5ddd31af535a71c88666e7e2",2,"0.75"
"65","5de2b59d8fde1c2eb47f92d8",1,"0.75"
"66","5de2b59d8fde1c2eb47f92d8",2,"0.75"
"67","5debae6c7aeafe29c43806f6",1,"0.75"
"68","5debae6c7aeafe29c43806f6",2,"0.75"
"69","5df50a49a98a7a3924e4137e",1,"0.75"
"70","5df50a49a98a7a3924e4137e",2,"0.75"
"71","5e482f13410cd9000bc937bb",1,"0.75"
"72","5e482f13410cd9000bc937bb",2,"0.75"
"73","5e57a0020c3c6a14a1624031",1,"0.75"
"74","5e57a0020c3c6a14a1624031",2,"0.75"
"75","5e677f1ad40a4901785aae24",1,"0.75"
"76","5e677f1ad40a4901785aae24",2,"0.75"
"77","5e6aa10ea20e4705134f8b2e",1,"0.75"
"78","5e6aa10ea20e4705134f8b2e",2,"0.75"
"79","5e6e1cdb47b4423c29b7ce9a",1,"0.75"
"80","5e6e1cdb47b4423c29b7ce9a",2,"0.75"
"81","5e7c4f45455902295048ffb6",1,"0.75"
"82","5e7c4f45455902295048ffb6",2,"0.75"
"83","5e7df5b7e28dab48b27cee4c",1,"0.75"
"84","5e7df5b7e28dab48b27cee4c",2,"0.75"
"85","5e7f76cf000e7064c43cc84a",1,"0.75"
"86","5e7f76cf000e7064c43cc84a",2,"0.75"
"87","5e81f1cfded6d38f01e3d71a",1,"0.75"
"88","5e81f1cfded6d38f01e3d71a",2,"0.75"
"89","5e830b929f2ed2018ec42099",1,"0.75"
"90","5e830b929f2ed2018ec42099",2,"0.75"
"91","5e83b64a71c78f0d979f1896",1,"0.75"
"92","5e83b64a71c78f0d979f1896",2,"0.75"
"93","5e8783b0fde5153fbd9dca43",2,"0.75"
"94","5e8841967a40f54adc0c0c59",1,"0.75"
"95","5e8841967a40f54adc0c0c59",2,"0.75"
"96","5e8a23a93fe46b01cec2cbfd",1,"0.75"
"97","5e8a23a93fe46b01cec2cbfd",2,"0.75"
"98","5e97018fc5a84918ec899112",1,"0.75"
"99","5e97018fc5a84918ec899112",2,"0.75"
"100","5e99ceb77e5c4b0416ebf946",1,"0.75"
"101","5e99ceb77e5c4b0416ebf946",2,"0.75"
"102","5e9b22568e59f501f051752e",1,"0.75"
"103","5e9b22568e59f501f051752e",2,"0.75"
"104","5e9d726e9a804b02ab2763df",1,"0.75"
"105","5e9d726e9a804b02ab2763df",2,"0.75"
"106","5ea4b5bc461d1047e88a9d64",1,"0.75"
"107","5ea4b5bc461d1047e88a9d64",2,"0.75"
"108","5ea66d70b8b1aa67d638b824",1,"0.75"
"109","5ea66d70b8b1aa67d638b824",2,"0.75"
"110","5ea84c88ea131626bbcc6dbf",1,"0.75"
"111","5ea84c88ea131626bbcc6dbf",2,"0.75"
"112","5ea93d40fb690101aa21e97a",1,"0.75"
"113","5ea93d40fb690101aa21e97a",2,"0.75"
"114","5ead68a50869fc3ed4190f39",1,"0.75"
"115","5ead68a50869fc3ed4190f39",2,"0.75"
"116","5eb3e344905f501db9064a52",2,"0.75"
"117","5eb808652d0c3773cc2577e9",1,"0.75"
"118","5eb808652d0c3773cc2577e9",2,"0.75"
"119","5eb9771c9b027b0647f16329",1,"0.50"
"120","5ebbdb5661918a0469093fb9",1,"0.75"
"121","5ebd3bbcecfc7d00085d0f9e",1,"0.75"
"122","5ebd3bbcecfc7d00085d0f9e",2,"0.75"
"123","5ec57530f348315719a6777f",1,"0.75"
"124","5ec57530f348315719a6777f",2,"0.75"
"125","5ec66938dab5740239677741",1,"0.75"
"126","5ec66938dab5740239677741",2,"0.75"
"127","5ec6d41aa9dc4010c6d9d249",1,"0.75"
"128","5ec6d41aa9dc4010c6d9d249",2,"0.75"
"129","5ecabb59401c3505e1c99513",1,"0.75"
"130","5ecabb59401c3505e1c99513",2,"0.75"
"131","5ecbb4c00bc62403dae2df59",1,"0.75"
"132","5ecbb4c00bc62403dae2df59",2,"0.75"
"133","5ece947349832e0bcb9852d9",1,"0.75"
"134","5ece947349832e0bcb9852d9",2,"0.75"
"135","5ed24c6634a20303a5ef5bd4",1,"0.75"
"136","5ed24c6634a20303a5ef5bd4",2,"0.75"
"137","5ed66c8840591e08bf3dc83b",1,"0.75"
"138","5ed66c8840591e08bf3dc83b",2,"0.75"
"139","5ed9f9d050d9be5b5261861f",1,"0.75"
"140","5ed9f9d050d9be5b5261861f",2,"0.50"
"141","5edeef385ae5f81a082be62a",1,"0.75"
