"","x"
"unique(prolific_id)1","5eef5f7a9b6bd30c1ac42fb8"
"unique(prolific_id)2","5f9705923dc522060d67e9a0"
"unique(prolific_id)3","5f842f8968ad9b03a1bef042"
"unique(prolific_id)4","5bf5ba787ac3710001c47193"
"unique(prolific_id)5","5f212a5e1723a92850cb6061"
"unique(prolific_id)6","5f6285720560ae1db06d599a"
"unique(prolific_id)7","5eefb6ecc9e3c81363bc53f5"
"unique(prolific_id)8","5e8841967a40f54adc0c0c59"
"unique(prolific_id)9","5ecbb4c00bc62403dae2df59"
"unique(prolific_id)10","5f8472685956c40c720d0936"
"unique(prolific_id)11","5eb808652d0c3773cc2577e9"
"unique(prolific_id)12","5ee1cf986f6573201fa06a24"
"unique(prolific_id)13","5eea0a3d61ca08000a56b912"
"unique(prolific_id)14","5e830b929f2ed2018ec42099"
"unique(prolific_id)15","5f0ae85ed1a1d801cf4e8106"
"unique(prolific_id)16","5f95967b97a3ae074be7485a"
"unique(prolific_id)17","5ecabb59401c3505e1c99513"
"unique(prolific_id)18","5fa18c4a48882016b4b143f7"
"unique(prolific_id)19","5f246fce25a82404804e5835"
"unique(prolific_id)20","5f651423bda63f030f6d87aa"
"unique(prolific_id)21","5eeb3879a497fe025cc4050b"
"unique(prolific_id)22","5e83b64a71c78f0d979f1896"
"unique(prolific_id)23","5ed9f9d050d9be5b5261861f"
"unique(prolific_id)24","5f9802a1306ea3045e8c0b43"
"unique(prolific_id)25","5f15f619399eaf744fe91aaa"
"unique(prolific_id)26","5f1ac6ebfe31fc2084e6c3c8"
"unique(prolific_id)27","5f52709068e37c52492decd4"
"unique(prolific_id)28","5d1b4223bafe26001ec6ae62"
"unique(prolific_id)29","5e9b22568e59f501f051752e"
"unique(prolific_id)30","5e482f13410cd9000bc937bb"
"unique(prolific_id)31","5f2139c605b3e94afa55476a"
"unique(prolific_id)32","5ddd31af535a71c88666e7e2"
"unique(prolific_id)33","5ce71321a6f1d5001a4b6ec3"
"unique(prolific_id)35","5f454c54c0d03a0fbf884f9b"
"unique(prolific_id)36","5f983cb10133ea0caba52342"
"unique(prolific_id)37","5f3077986a37984e5af7d994"
"unique(prolific_id)38","5efb7d2e8ded9d0e5473db8b"
"unique(prolific_id)39","5aeac20931a2fb00013cd72e"
"unique(prolific_id)40","5ec66938dab5740239677741"
"unique(prolific_id)41","5d80f06ec7470f0001e8464c"
"unique(prolific_id)42","5f03759a33e5d656f069b615"
"unique(prolific_id)43","5f72d2b7b70fa021b221ebbb"
"unique(prolific_id)44","5f7c7f16778fde09b5ecedaa"
"unique(prolific_id)45","5fa95cb2215d7c0ae4538369"
"unique(prolific_id)46","5f85a15c5c66ef021123a98d"
"unique(prolific_id)47","5ead68a50869fc3ed4190f39"
"unique(prolific_id)48","5d5945a140d6260001b28a12"
"unique(prolific_id)53","5daae19f8a06b60016d1bc32"
"unique(prolific_id)54","5f073c1625a90f2f8cbc4a89"
"unique(prolific_id)55","5e677f1ad40a4901785aae24"
"unique(prolific_id)56","5f6318fbbfaddb3c293e6236"
"unique(prolific_id)57","5d7374ab99bf5b0018864719"
"unique(prolific_id)58","5f92c636ad0a5e0842068ab6"
"unique(prolific_id)59","5da867d0b56fb70012271761"
"unique(prolific_id)60","5cb72e7625f45e0017c31287"
"unique(prolific_id)61","5d7df958cb6cf00001399929"
"unique(prolific_id)62","5f6cc211062b6e0c529ffcbe"
"unique(prolific_id)63","5a8b49d917ef35000170b814"
"unique(prolific_id)64","5f7f7cb6e820a4134ee3edb2"
"unique(prolific_id)65","5ec6d41aa9dc4010c6d9d249"
"unique(prolific_id)67","5faa77a894b02a3893aba0f3"
"unique(prolific_id)68","5f636c7645f61e036f74ccbf"
"unique(prolific_id)69","5e99ceb77e5c4b0416ebf946"
"unique(prolific_id)70","5d97bf1cfaa2860015b165a6"
"unique(prolific_id)71","5f9acb13135e3821ce11a45e"
"unique(prolific_id)72","5ee8ceb850ff321f9c977c5c"
"unique(prolific_id)73","5ed66c8840591e08bf3dc83b"
"unique(prolific_id)74","5f3a84149afb5d69102176af"
"unique(prolific_id)75","594fc4afd3a26200014dce0e"
"unique(prolific_id)76","5fa0829da499850e740baa36"
"unique(prolific_id)77","5efb11b64187a502399fdfc3"
"unique(prolific_id)78","5fa548464d75e0232275d55e"
"unique(prolific_id)79","5df50a49a98a7a3924e4137e"
"unique(prolific_id)80","5ef5f63c7aa58727ac4f8588"
"unique(prolific_id)82","5f907b2db259b6143a6659ba"
"unique(prolific_id)83","5f732dc2e3307c069b83df39"
"unique(prolific_id)84","5e8a23a93fe46b01cec2cbfd"
"unique(prolific_id)85","5e6aa10ea20e4705134f8b2e"
"unique(prolific_id)86","5f343de4d0c07630b7f90b92"
"unique(prolific_id)87","5c1f694cce8ff10001aa3e0b"
"unique(prolific_id)88","5fa458b62713510a43fa06a6"
"unique(prolific_id)89","5f06d3c83dd59d000c650771"
"unique(prolific_id)90","5f5503435d41a489068ff50b"
"unique(prolific_id)91","5eef3e69f1679801ea55a734"
"unique(prolific_id)92","5e7f76cf000e7064c43cc84a"
"unique(prolific_id)94","5ee9ee23cf5da7000aaec837"
"unique(prolific_id)97","5f746ebecf8f02000adbad63"
